TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PP,CDS,PH,FE-JONS,PCPE-EK,POSI,UCE,F.N.,UNA,UV,E.U.,PSE-EE/PSOE,PREPAL,AA,LV-GV,DN,PACMA/ZAAAA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPD,IF,PNV...(E09),SAIN,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
GIPUZKOA,004,065,SORALUZE-PLACENCIA DE LAS ARMAS,3253,1525,2,1523,8,1515,1728,186,0,0,0,0,0,0,0,0,0,0,343,0,0,4,0,0,0,0,0,0,0,0,1,5,1,366,0,1,140,3,0,9,0,456
GIPUZKOA,004,066,ERREZIL,481,198,0,198,0,198,283,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,9,0,0,0,0,126
GIPUZKOA,004,068,LEINTZ-GATZAGA,208,104,0,104,0,104,104,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,0,0,0,55
GIPUZKOA,004,074,BERGARA,11846,4775,10,4765,14,4751,7071,252,1,1,0,4,2,1,1,1,1,1,829,0,1,22,2,4,0,0,1,2,1,2,1,7,2,1482,3,1,563,8,0,90,0,1465
GIPUZKOA,004,079,ZARAUTZ,17245,6867,21,6846,53,6793,10378,671,2,2,0,1,4,2,0,0,0,0,1426,0,0,33,0,5,1,1,4,2,0,0,2,61,6,2114,1,0,856,12,1,84,0,1502
GIPUZKOA,004,081,ZUMAIA,7273,3013,4,3009,15,2994,4260,155,1,0,2,1,0,1,0,0,0,2,659,0,0,12,0,5,0,1,3,2,0,1,0,10,0,961,0,1,418,10,0,43,1,705
GIPUZKOA,004,901,MENDARO,1482,553,1,552,4,548,929,25,0,0,0,0,0,0,0,0,0,0,111,0,0,3,0,1,0,0,0,0,0,0,0,4,1,219,1,0,65,0,0,6,0,112
GIPUZKOA,099,999,MUNICIPIO CERA GIPUZKOA,16455,1860,16,1844,1,1843,14595,255,4,0,0,4,1,2,0,1,1,0,648,0,0,32,0,24,2,1,13,5,0,0,4,51,6,466,0,1,118,4,0,27,1,172
BIZKAIA,001,020,BILBAO,281657,121678,444,121234,908,120326,159979,26122,44,41,40,111,83,36,26,15,7,19,35061,34,6,726,59,283,103,7,336,162,12,23,67,2543,233,35450,27,27,4023,248,11,2547,114,11680
BIZKAIA,002,002,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,7935,3116,22,3094,29,3065,4819,210,0,1,0,3,5,1,1,0,0,0,1139,2,0,11,4,4,0,0,6,2,0,0,0,36,2,1080,2,1,89,4,1,90,2,369
BIZKAIA,002,008,ARTZENTALES,595,343,0,343,4,339,252,13,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,1,0,0,0,1,0,0,1,2,0,232,0,0,27,0,1,4,0,33
BIZKAIA,002,013,BARAKALDO,81776,32393,144,32249,257,31992,49383,6120,11,10,15,23,36,11,4,5,1,9,14174,9,3,194,14,77,1,6,65,49,6,9,12,503,26,6265,6,14,764,29,1,834,16,2670
BIZKAIA,002,022,KARRANTZA HARANA / VALLE DE CARRANZA,2425,904,3,901,7,894,1521,68,0,0,0,0,0,0,0,0,0,0,144,0,0,2,0,2,0,0,1,1,0,0,0,4,0,503,0,0,38,0,0,12,1,118
BIZKAIA,002,037,GALDAMES,732,388,5,383,2,381,344,19,0,0,0,1,1,0,0,0,0,0,36,0,0,5,0,0,0,0,0,1,0,0,0,2,1,208,0,0,36,0,0,6,0,65
BIZKAIA,002,042,GORDEXOLA,1424,891,10,881,2,879,533,113,0,0,0,2,0,0,0,0,0,0,104,0,0,5,1,1,0,0,0,1,0,0,0,18,0,519,0,0,47,0,0,15,0,53
BIZKAIA,002,045,GÜEÑES,5089,2890,18,2872,26,2846,2199,154,3,1,0,2,6,1,1,1,2,0,563,0,0,9,0,11,1,2,1,4,0,0,0,26,1,1475,0,0,186,3,0,21,1,371
BIZKAIA,002,051,LANESTOSA,236,135,2,133,0,133,101,21,0,0,0,0,0,0,0,0,0,0,29,1,0,1,0,1,0,0,0,1,0,0,0,4,0,64,0,0,0,0,0,2,0,9
BIZKAIA,002,071,MUSKIZ,5954,2617,8,2609,32,2577,3337,182,2,0,0,3,1,0,0,0,0,0,787,0,0,10,1,8,2,0,5,1,2,0,1,14,1,1041,1,0,192,1,0,42,1,279
BIZKAIA,002,078,PORTUGALETE,40778,16901,67,16834,120,16714,23877,2877,9,5,1,10,15,5,2,1,0,5,7091,4,0,81,3,38,3,1,33,12,1,5,2,224,13,3881,5,2,397,19,2,501,12,1454
BIZKAIA,002,080,VALLE DE TRÁPAGA-TRAPAGARAN,10381,4334,51,4283,35,4248,6047,384,1,0,0,4,3,0,0,0,0,1,1784,0,0,20,0,13,1,0,19,7,1,1,0,41,3,1336,1,0,115,2,1,103,1,406
BIZKAIA,002,082,SANTURTZI,38979,15319,46,15273,132,15141,23660,2196,3,5,4,22,6,7,3,3,1,3,6058,3,3,70,4,28,0,2,34,14,0,2,1,188,12,3943,4,2,324,7,1,391,8,1789
BIZKAIA,002,083,ORTUELLA,7199,3094,15,3079,12,3067,4105,223,3,2,2,5,4,2,0,0,0,1,1254,0,1,12,2,3,0,0,20,2,0,1,0,27,2,1053,0,2,111,6,1,68,0,260
BIZKAIA,002,084,SESTAO,24341,9547,48,9499,73,9426,14794,1403,5,3,3,8,10,1,2,1,0,1,4235,2,3,64,4,23,2,0,25,13,2,1,0,75,7,2057,6,5,248,11,1,303,5,897
