,id_provincia,año,Partidos,Votos
357,46,2024,CEUS,450
358,47,2024,CEUS,87
359,48,2024,CEUS,118771
360,49,2024,CEUS,18
361,50,2024,CEUS,143
362,51,2024,CEUS,4
363,52,2024,CEUS,3
364,1,2024,PACMA,797
365,2,2024,PACMA,936
366,3,2024,PACMA,5107
367,4,2024,PACMA,1243
368,5,2024,PACMA,286
369,6,2024,PACMA,998
370,7,2024,PACMA,2917
371,8,2024,PACMA,24804
372,9,2024,PACMA,922
373,10,2024,PACMA,625
374,11,2024,PACMA,3763
375,12,2024,PACMA,1605
376,13,2024,PACMA,946
377,14,2024,PACMA,1774
378,15,2024,PACMA,2208
379,16,2024,PACMA,330
380,17,2024,PACMA,2808
381,18,2024,PACMA,2219
382,19,2024,PACMA,837
383,20,2024,PACMA,1353
384,21,2024,PACMA,987
385,22,2024,PACMA,508
386,23,2024,PACMA,1222
387,24,2024,PACMA,918
388,25,2024,PACMA,1004
389,26,2024,PACMA,627
390,27,2024,PACMA,510
391,28,2024,PACMA,20033
392,29,2024,PACMA,5641
393,30,2024,PACMA,3523
394,31,2024,PACMA,1435
395,32,2024,PACMA,546
396,33,2024,PACMA,2648
397,34,2024,PACMA,288
398,35,2024,PACMA,3018
399,36,2024,PACMA,2036
400,37,2024,PACMA,529
401,38,2024,PACMA,4610
402,39,2024,PACMA,1604
403,40,2024,PACMA,275
404,41,2024,PACMA,6205
405,42,2024,PACMA,120
406,43,2024,PACMA,2676
407,44,2024,PACMA,212
408,45,2024,PACMA,1424
409,46,2024,PACMA,8818
410,47,2024,PACMA,1271
411,48,2024,PACMA,2484
412,49,2024,PACMA,239
413,50,2024,PACMA,2284
414,51,2024,PACMA,86
415,52,2024,PACMA,88
416,1,2024,Cs,265
417,2,2024,Cs,1013
418,3,2024,Cs,4748
419,4,2024,Cs,1254
420,5,2024,Cs,555
421,6,2024,Cs,1361
422,7,2024,Cs,1865
423,8,2024,Cs,10952
424,9,2024,Cs,1597
425,10,2024,Cs,796
426,11,2024,Cs,2977
427,12,2024,Cs,1600
428,13,2024,Cs,1044
429,14,2024,Cs,2170
430,15,2024,Cs,1329
431,16,2024,Cs,384
432,17,2024,Cs,694
433,18,2024,Cs,2575
434,19,2024,Cs,774
435,20,2024,Cs,324
436,21,2024,Cs,1031
437,22,2024,Cs,672
438,23,2024,Cs,1339
439,24,2024,Cs,1210
440,25,2024,Cs,414
441,26,2024,Cs,769
442,27,2024,Cs,277
443,28,2024,Cs,30715
444,29,2024,Cs,4532
445,30,2024,Cs,3900
446,31,2024,Cs,1319
447,32,2024,Cs,295
448,33,2024,Cs,3065
449,34,2024,Cs,547
450,35,2024,Cs,1417
451,36,2024,Cs,1019
452,37,2024,Cs,1235
453,38,2024,Cs,1396
454,39,2024,Cs,2234
455,40,2024,Cs,650
456,41,2024,Cs,5839
457,42,2024,Cs,198
458,43,2024,Cs,1190
459,44,2024,Cs,237
460,45,2024,Cs,1447
461,46,2024,Cs,8506
462,47,2024,Cs,2461
463,48,2024,Cs,640
464,49,2024,Cs,360
465,50,2024,Cs,3688
466,51,2024,Cs,99
467,52,2024,Cs,116
468,1,2024,FO,537
469,2,2024,FO,462
470,3,2024,FO,2550
471,4,2024,FO,717
472,5,2024,FO,222
473,6,2024,FO,495
474,7,2024,FO,1158
475,8,2024,FO,7010
476,9,2024,FO,877
477,10,2024,FO,423
478,11,2024,FO,1252
479,12,2024,FO,945
480,13,2024,FO,574
481,14,2024,FO,852
482,15,2024,FO,1221
483,16,2024,FO,276
484,17,2024,FO,573
485,18,2024,FO,1015
486,19,2024,FO,515
487,20,2024,FO,797
488,21,2024,FO,391
489,22,2024,FO,415
490,23,2024,FO,542
491,24,2024,FO,741
492,25,2024,FO,321
493,26,2024,FO,500
494,27,2024,FO,317
495,28,2024,FO,13501
496,29,2024,FO,1778
497,30,2024,FO,1916
498,31,2024,FO,1251
499,32,2024,FO,324
500,33,2024,FO,2008
501,34,2024,FO,276
502,35,2024,FO,1126
503,36,2024,FO,1002
504,37,2024,FO,440
505,38,2024,FO,965
506,39,2024,FO,1008
507,40,2024,FO,302
508,41,2024,FO,2307
509,42,2024,FO,113
510,43,2024,FO,864
511,44,2024,FO,232
512,45,2024,FO,1045
513,46,2024,FO,4452
514,47,2024,FO,1162
515,48,2024,FO,1404
516,49,2024,FO,199
517,50,2024,FO,2161
518,51,2024,FO,42
519,52,2024,FO,55
