Unnamed: 0,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Illora-18102,5486,4621,9951,2713,433,17158,13920,15112,13290
Zafarraya-18192,1413,1180,2157,2716,435,17131,14045,15149,13367
Galera-18082,581,496,1108,2725,440,17053,13706,15113,13248
Fuente Vaqueros-18079,2311,1975,4594,2732,443,17027,13876,14938,13305
Ugíjar-18182,1181,1012,2574,2737,445,16976,13433,14837,12885
Benamaurel-18029,1217,1065,2250,2749,454,16898,13950,14891,13287
Zújar-18194,1473,1267,2568,2756,459,16809,14072,14904,13601
Deifontes-18066,1371,1157,2624,2764,464,16757,14346,14857,13726
Orce-18146,589,513,1147,2766,465,16717,13065,14745,12673
Cúllar-18056,2165,1857,3965,2768,466,16684,13859,14764,13235
Chimeneas-18061,654,573,1238,2769,467,16674,14087,14835,13353
"Peza, La-18154",577,489,1128,2779,473,16623,14666,14783,14023
Pinos Puente-18158,4944,4295,9664,2781,475,16614,14279,14612,13518
Molvízar-18133,1338,1159,2752,2793,484,16475,14037,14566,13330
Moclín-18132,2167,1907,3558,2800,489,16402,13862,14650,13465
Iznalloz-18105,2625,2173,5161,2810,493,16267,14222,14429,13581
Puebla de Don Fadrique-18164,1246,1060,2207,2812,494,16256,13657,14330,13185
Castilléjar-18045,594,530,1288,2818,500,16204,13778,14284,13246
Otívar-18148,508,449,1034,2826,505,16106,14582,14303,13659
Cuevas del Campo-18912,1038,923,1793,2833,510,15999,13490,14381,13086
Salar-18171,1452,1225,2617,2845,518,15891,13324,14121,12742
Píñar-18159,530,474,1099,2848,521,15866,13613,14372,13056
Cortes de Baza-18053,995,863,1810,2866,533,15482,12585,14016,12362
Darro-18063,735,646,1658,2868,534,15451,12377,13683,12011
Montillana-18137,610,499,1069,2870,536,15400,12703,14087,12405
"Guajares, Los-18906",542,479,1157,2876,540,15267,12836,13855,12451
Montefrío-18135,3068,2623,5376,2878,541,15214,12438,13761,12027
Benalúa de las Villas-18028,584,478,1030,2887,549,14871,12273,13629,12055
Castril-18046,1126,1009,1992,2892,551,14575,12197,13145,11860
Algarinejo-18012,1356,1130,2396,2900,557,14202,12103,13039,11879
Montejícar-18136,1117,922,2039,2902,559,14173,12392,12895,12012
Colomera-18051,629,537,1290,2905,561,14109,11908,12902,11714
Pedro Martínez-18152,453,396,1160,2908,563,14043,11742,12912,11577
Guadahortuna-18088,848,728,1816,2910,564,13885,11810,12675,11556
Agrupación municipios pequeños-18,20862,18205,42997,-,-,17343,14401,15333,13736
Huelva,301307,268057,530824,,,22377,16667,18721,15098
Aljaraque-21002,12523,11088,22259,304,10,32283,26698,25703,22373
Huelva-21041,84602,74205,142532,959,49,26604,22150,21801,19130
Valverde del Camino-21072,6847,5914,12655,1207,72,25059,21140,20642,18186
Punta Umbría-21060,8351,7346,16069,1308,81,24598,18719,20234,16562
Minas de Riotinto-21049,2107,1800,3703,1325,85,24510,23352,20481,20049
Calañas-21017,1499,1246,2754,1442,97,23891,21136,19806,18278
Aracena-21007,4517,3973,8340,1605,115,22933,17881,19197,15882
Almonaster la Real-21004,830,725,1793,1631,118,22806,18892,18749,16446
"Campillo, El-21018",1159,1000,2015,1708,129,22430,19935,19059,17636
Nerva-21052,2793,2352,5081,1709,130,22428,20233,19034,17541
"Palma del Condado, La-21054",5744,5026,10726,1734,136,22309,17234,18752,15450
Trigueros-21070,4543,3969,7989,1790,146,22047,17485,18600,15625
Zalamea la Real-21078,1674,1433,2973,1810,148,21944,18927,18547,16945
Ayamonte-21010,10944,9849,21645,1834,149,21866,16636,18459,15054
"Zarza-Perrunal, La-21902",581,477,1215,1872,156,21691,19859,18329,17741
Hinojos-21040,2072,1877,4094,1963,167,21311,15959,18047,14556
Cartaya-21021,11617,10601,21128,1971,170,21259,15382,17919,14184
Cortegana-21025,2391,2020,4649,2010,181,21113,16837,17900,15326
Jabugo-21043,1188,1043,2208,2029,186,21037,18765,17909,16258
San Juan del Puerto-21064,5147,4536,9659,2039,187,21003,16736,17881,15355
Beas-21011,2387,2137,4359,2092,194,20645,16193,17525,14818
Gibraleón-21035,6684,5791,12940,2093,195,20644,16691,17584,15192
Higuera de la Sierra-21038,664,570,1306,2111,201,20601,15802,17628,14551
"Cerro de Andévalo, El-21023",1173,985,2272,2125,207,20536,16497,17436,15193
Bonares-21014,3332,2971,6101,2173,217,20253,15287,17026,14119
Villanueva de los Castillejos-21076,1550,1407,2953,2203,224,20120,16044,17102,14684
Niebla-21053,2339,1992,4244,2211,226,20064,16058,17255,14706
Palos de la Frontera-21055,9761,9184,12537,2245,231,19917,13125,16692,12380
Bollullos Par del Condado-21013,8054,7205,14263,2301,242,19673,14487,16729,13649
Santa Olalla del Cala-21069,1129,960,2038,2339,258,19495,15538,16690,14354
Moguer-21050,13852,12775,22956,2357,268,19401,13876,16474,13057
Cumbres Mayores-21029,974,836,1731,2359,270,19393,16273,16788,14675
Lepe-21044,16171,14630,28813,2372,276,19314,14659,16461,13651
Isla Cristina-21042,10769,9548,21603,2445,301,18935,14784,16336,13757
Puebla de Guzmán-21058,1680,1503,3115,2473,312,18792,15093,16230,14083
San Bartolomé de la Torre-21063,2441,2286,3997,2475,313,18788,14428,16092,13489
Alosno-21006,1899,1663,3971,2479,316,18754,15422,16180,14262
Encinasola-21031,661,560,1269,2494,322,18659,14748,16314,13846
Cala-21016,629,511,1140,2498,326,18647,15403,16001,14098
Lucena del Puerto-21046,2585,2476,3278,2515,332,18524,12502,15594,11807
Chucena-21030,1230,1076,2235,2524,334,18460,14286,16186,13499
Villarrasa-21077,1247,1089,2148,2569,360,18224,14244,15782,13566
Escacena del Campo-21032,1231,1080,2325,2632,392,17788,14936,15611,13872
Galaroza-21034,733,643,1381,2660,405,17606,14545,15285,13685
