TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,HB,EB,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PCPE-EHAC,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
BIZKAIA,018,BERRIATUA,1,1,U,848,491,1,490,4,486,357,11,4,145,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,23,0,194,0,0,0,96,0,0,,0,2
BIZKAIA,019,BERRIZ,1,1,U,1040,718,7,711,12,699,322,141,5,114,9,16,0,0,0,1,11,5,0,1,3,0,1,0,0,0,0,53,1,246,1,0,0,87,0,0,,0,4
BIZKAIA,019,BERRIZ,1,2,A,438,274,0,274,2,272,164,3,0,90,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,8,0,112,0,0,3,52,0,0,,0,0
BIZKAIA,019,BERRIZ,1,2,B,358,260,3,257,3,254,98,1,15,83,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,106,0,0,0,35,0,1,,1,0
BIZKAIA,019,BERRIZ,1,3,U,1407,974,8,966,10,956,433,218,21,153,13,29,0,0,0,1,11,4,0,1,2,0,0,0,0,0,1,124,0,291,3,0,0,80,0,1,,0,3
BIZKAIA,020,BILBAO,1,1,U,572,293,1,292,5,287,279,35,15,56,10,6,4,0,1,2,8,0,0,1,2,1,0,0,1,1,0,40,1,88,2,0,0,12,1,0,,0,0
BIZKAIA,020,BILBAO,1,2,U,858,473,4,469,8,461,385,78,58,88,20,11,0,0,2,0,15,3,1,1,0,0,0,0,0,0,0,60,0,96,0,0,0,22,1,1,,0,4
BIZKAIA,020,BILBAO,1,3,U,911,538,16,522,13,509,373,78,58,83,6,8,0,0,22,1,16,5,0,0,4,0,0,0,1,1,5,67,1,104,2,0,1,39,2,1,,0,4
BIZKAIA,020,BILBAO,1,4,U,597,375,0,375,4,371,222,67,60,63,10,5,1,0,8,2,10,0,1,0,0,0,0,0,0,0,0,43,0,77,0,0,0,19,1,2,,0,2
BIZKAIA,020,BILBAO,1,5,U,832,525,5,520,4,516,307,94,49,73,19,23,1,0,6,0,8,6,4,1,4,0,0,0,0,1,2,84,0,103,0,0,0,31,1,1,,0,5
BIZKAIA,020,BILBAO,1,6,A,744,408,1,407,2,405,336,87,46,47,10,23,1,0,3,1,13,4,1,1,3,0,0,0,0,0,3,62,0,71,2,0,0,18,0,2,,0,7
BIZKAIA,020,BILBAO,1,6,B,711,427,3,424,10,414,284,91,41,53,18,20,0,2,8,2,11,2,1,2,2,0,0,0,4,1,3,56,0,77,1,0,0,10,1,2,,0,6
BIZKAIA,020,BILBAO,1,7,U,907,520,9,511,3,508,387,90,37,58,12,26,0,0,13,6,10,12,0,0,0,0,0,0,1,0,1,64,0,130,2,0,0,37,1,2,,0,6
BIZKAIA,020,BILBAO,1,8,U,770,398,9,389,4,385,372,70,34,83,11,11,0,1,2,1,7,5,0,0,1,0,0,0,0,0,0,60,0,75,1,0,0,21,0,0,,1,1
BIZKAIA,020,BILBAO,1,9,A,628,386,2,384,6,378,242,104,31,50,6,21,0,0,3,1,12,4,1,2,1,0,0,0,1,1,1,46,1,69,1,0,0,19,1,0,,0,2
BIZKAIA,020,BILBAO,1,9,B,646,387,4,383,7,376,259,85,37,40,6,23,0,1,2,3,15,4,0,1,0,0,1,0,0,2,1,43,0,89,1,0,0,13,2,0,,0,7
BIZKAIA,020,BILBAO,1,10,U,850,440,7,433,6,427,410,58,33,74,9,18,0,2,10,2,7,11,1,0,2,0,0,1,0,0,1,47,0,101,1,0,0,40,1,1,,0,7
BIZKAIA,020,BILBAO,1,11,A,594,317,1,316,9,307,277,71,40,49,3,7,0,0,3,1,5,1,0,0,0,0,0,0,0,0,0,27,0,81,0,0,0,17,2,0,,0,0
BIZKAIA,020,BILBAO,1,11,B,625,352,1,351,3,348,273,81,58,61,11,6,0,0,4,1,7,1,0,0,0,0,0,1,0,0,0,29,0,68,0,0,0,15,3,0,,0,2
BIZKAIA,020,BILBAO,1,12,U,724,429,4,425,2,423,295,73,85,52,5,10,0,0,7,0,8,1,2,1,2,0,0,0,2,0,0,32,0,111,2,0,0,27,2,1,,0,0
BIZKAIA,020,BILBAO,1,13,U,684,390,8,382,0,382,294,90,50,47,9,9,1,2,2,0,11,1,3,0,0,0,0,0,0,0,0,51,0,76,1,0,0,25,0,1,,0,3
BIZKAIA,020,BILBAO,1,14,U,577,337,0,337,0,337,240,59,48,47,4,5,0,1,9,0,8,1,1,0,0,0,0,0,0,0,2,42,0,76,0,0,0,32,0,0,,0,2
BIZKAIA,020,BILBAO,1,15,U,804,455,12,443,6,437,349,101,35,46,13,35,0,0,10,1,10,2,1,1,2,1,0,0,1,0,3,67,0,74,1,0,2,23,1,3,,1,3
BIZKAIA,020,BILBAO,1,16,A,665,351,2,349,10,339,314,55,43,49,3,16,0,1,5,0,11,0,0,1,0,1,0,0,0,2,1,45,0,83,0,0,1,18,1,0,,0,3
BIZKAIA,020,BILBAO,1,16,B,738,392,1,391,7,384,346,60,48,41,7,16,0,0,5,0,11,6,0,1,0,0,0,0,0,0,2,65,1,94,0,0,0,22,0,2,,0,3
BIZKAIA,020,BILBAO,1,17,A,594,352,2,350,2,348,242,57,62,35,2,12,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,27,0,107,0,0,1,24,2,0,,2,0
BIZKAIA,020,BILBAO,1,17,B,621,361,1,360,0,360,260,65,62,41,8,15,0,0,7,0,10,1,0,0,0,0,0,0,0,0,1,30,0,100,0,0,0,20,0,0,,0,0
BIZKAIA,020,BILBAO,1,18,A,602,344,3,341,3,338,258,63,41,51,4,21,0,1,7,1,8,0,0,0,3,0,0,0,0,0,2,44,0,78,2,0,0,27,1,0,,0,3
BIZKAIA,020,BILBAO,1,18,B,604,345,2,343,5,338,259,88,37,47,8,28,0,0,5,0,10,2,0,1,0,1,0,0,0,0,2,48,0,68,0,0,0,14,1,0,,0,4
BIZKAIA,020,BILBAO,1,19,U,1016,567,5,562,7,555,449,118,22,84,9,22,0,1,3,3,17,8,0,0,2,0,0,0,0,0,0,65,0,133,0,0,0,62,2,0,,1,3
BIZKAIA,020,BILBAO,1,20,U,638,354,5,349,3,346,284,59,34,37,11,12,0,0,2,1,18,6,0,0,1,0,0,0,0,0,2,66,1,65,1,0,0,26,1,1,,0,2
BIZKAIA,020,BILBAO,1,21,A,630,355,3,352,4,348,275,58,11,65,8,4,1,1,5,0,3,5,0,0,0,1,0,1,1,0,2,52,0,91,0,0,0,36,1,1,,0,1
BIZKAIA,020,BILBAO,1,21,B,650,400,3,397,1,396,250,68,18,65,9,14,0,0,7,1,3,6,1,0,0,0,0,0,1,0,2,66,0,89,3,0,0,32,0,2,,0,9
BIZKAIA,020,BILBAO,1,22,A,707,455,4,451,2,449,252,62,58,75,10,23,0,0,4,0,15,5,0,3,1,0,0,0,0,0,0,53,0,90,0,0,0,42,1,0,,0,7
BIZKAIA,020,BILBAO,1,22,B,764,457,0,457,7,450,307,66,69,65,10,19,1,0,5,0,8,4,0,0,1,0,0,0,0,0,1,76,0,88,0,0,0,31,0,1,,1,4
BIZKAIA,020,BILBAO,1,23,U,911,513,4,509,7,502,398,117,51,56,18,18,0,0,6,1,8,4,1,2,0,0,0,0,0,0,2,69,1,112,0,0,0,33,0,1,,0,2
BIZKAIA,020,BILBAO,1,24,U,496,314,0,314,0,314,182,36,9,63,2,3,0,0,7,1,4,6,0,0,0,1,0,0,0,0,1,17,0,129,0,0,1,27,1,3,,0,3
BIZKAIA,020,BILBAO,1,25,A,588,367,2,365,7,358,221,42,40,43,1,17,1,0,1,0,9,0,0,0,0,0,0,0,0,0,1,73,0,96,0,0,0,30,0,0,,0,4
BIZKAIA,020,BILBAO,1,25,B,699,393,0,393,2,391,306,38,56,55,5,6,1,0,3,0,11,0,0,0,2,0,0,1,0,0,0,87,0,92,0,0,0,26,0,4,,0,4
BIZKAIA,020,BILBAO,1,26,A,609,358,9,349,3,346,251,39,46,41,1,9,0,2,0,0,4,1,0,0,0,0,1,0,0,0,1,42,0,124,0,0,0,29,1,2,,0,3
BIZKAIA,020,BILBAO,1,26,B,583,342,0,342,0,342,241,46,37,45,2,9,0,1,3,2,10,0,1,2,0,0,0,0,0,0,1,39,0,114,0,0,0,28,0,1,,0,1
BIZKAIA,020,BILBAO,1,27,U,1017,626,7,619,3,616,391,202,34,59,24,23,0,0,12,0,7,4,0,4,1,0,1,0,3,0,8,68,0,121,0,0,0,34,2,2,,0,7
BIZKAIA,020,BILBAO,1,28,A,701,443,5,438,6,432,258,183,16,53,24,14,0,2,7,0,4,3,0,2,1,0,2,1,0,0,3,30,0,63,1,0,1,15,1,3,,1,2
BIZKAIA,020,BILBAO,1,28,B,669,415,2,413,9,404,254,168,24,35,26,10,1,0,6,0,4,1,0,2,0,0,0,0,0,0,2,43,0,67,0,0,1,8,2,1,,1,2
BIZKAIA,020,BILBAO,1,29,A,787,492,5,487,6,481,295,208,12,78,14,6,1,0,5,0,5,12,1,3,0,0,0,1,0,1,4,45,1,53,1,0,0,25,0,2,,0,3
BIZKAIA,020,BILBAO,1,29,B,797,465,3,462,4,458,332,200,25,61,13,7,0,0,6,1,6,9,1,2,0,0,0,0,0,1,4,39,0,58,1,0,0,16,0,2,,0,6
BIZKAIA,020,BILBAO,1,30,U,1122,698,4,694,6,688,424,95,57,89,4,20,0,0,6,0,15,3,0,1,0,4,0,0,6,0,0,125,1,184,1,0,0,61,2,3,,0,11
BIZKAIA,020,BILBAO,1,31,A,646,383,3,380,0,380,263,45,26,59,3,15,0,0,8,0,12,7,0,0,0,0,0,0,0,0,3,43,0,123,2,0,0,26,2,1,,0,5
BIZKAIA,020,BILBAO,1,31,B,663,413,5,408,7,401,250,53,29,53,8,16,0,0,5,0,9,6,2,0,0,0,0,0,0,0,3,60,0,116,0,0,0,30,1,1,,0,9
BIZKAIA,020,BILBAO,1,32,A,908,537,4,533,2,531,371,51,60,67,4,18,0,1,9,0,8,2,0,0,0,0,1,0,1,0,0,64,0,174,0,0,0,61,2,2,,0,6
BIZKAIA,020,BILBAO,1,32,B,778,465,3,462,3,459,313,46,71,73,6,21,0,0,4,3,19,1,0,0,2,0,0,0,0,0,2,51,0,119,0,0,0,38,1,0,,0,2
BIZKAIA,020,BILBAO,1,33,U,1023,655,4,651,7,644,368,58,95,82,8,16,0,0,4,0,15,2,0,0,4,0,0,1,0,0,0,80,0,192,0,0,0,77,4,0,,0,6
BIZKAIA,020,BILBAO,1,34,U,823,529,6,523,4,519,294,31,85,66,2,7,0,0,3,0,19,2,0,0,1,0,0,0,0,0,1,75,0,163,0,0,0,60,3,0,,0,1
BIZKAIA,020,BILBAO,1,35,U,841,502,12,490,1,489,339,69,85,69,4,12,0,0,1,0,12,2,2,0,0,0,0,0,0,0,1,38,0,141,1,0,0,50,0,0,,0,2
BIZKAIA,020,BILBAO,1,36,U,786,478,7,471,6,465,308,65,70,67,4,7,0,0,0,0,6,1,0,0,4,0,0,0,0,0,0,52,1,127,1,0,0,52,3,1,,0,4
