TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,PACMA/ATTKA,MSR,UPYD,C´S,I.FEM,SAIN,IU-LV,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,2,B,749,341,3,338,8,330,408,50,39,0,0,1,0,1,0,0,0,0,6,3,1,0,20,3,80,93,0,0,0,1,2,1,0,1,0,0,0,0,25,0,0,0,0,0,3,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,3,A,663,259,0,259,5,254,404,38,16,2,0,1,0,0,0,0,2,0,7,1,0,0,14,1,83,52,0,0,0,1,4,3,0,3,0,0,0,0,22,0,1,0,1,0,1,1
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,3,B,688,275,0,275,2,273,413,48,20,1,0,1,0,0,0,0,2,0,9,1,0,0,22,2,78,68,0,0,0,0,1,0,0,0,1,0,0,0,18,0,0,0,0,0,0,1
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,4,U,990,373,5,368,2,366,617,39,28,1,0,1,0,0,0,0,5,2,10,0,2,0,33,7,94,76,1,1,2,0,9,2,0,1,0,0,0,0,46,0,0,0,1,0,3,2
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,5,A,744,334,6,328,7,321,410,46,15,0,0,0,0,0,0,0,5,0,7,0,0,0,19,0,133,55,0,0,1,1,1,0,0,0,2,1,0,0,32,0,0,0,0,0,3,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,5,B,856,377,11,366,6,360,479,40,20,1,0,1,0,0,0,0,3,0,7,0,1,0,24,3,139,91,1,0,1,4,1,0,0,1,0,0,0,0,19,0,2,0,0,0,1,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,6,A,854,401,9,392,6,386,453,33,38,0,0,0,0,0,1,0,6,0,11,3,0,1,23,2,94,135,2,0,0,1,3,1,0,2,0,0,0,1,28,0,0,0,0,1,0,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,6,B,845,414,11,403,2,401,431,56,47,0,0,0,0,0,0,0,3,0,17,2,1,0,18,3,91,120,0,0,0,0,8,3,0,2,0,0,0,0,27,0,0,0,1,0,2,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,7,U,1028,452,9,443,4,439,576,77,57,0,0,1,0,0,0,0,1,0,20,1,1,0,29,3,97,87,0,1,0,0,3,2,0,3,2,0,0,0,47,1,1,1,0,0,4,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,8,U,1016,388,9,379,6,373,628,67,37,3,0,0,0,0,1,1,2,0,13,1,2,0,22,3,108,70,0,0,0,0,1,1,0,1,0,0,1,1,32,0,0,0,1,0,2,3
