TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,EB,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE-LI.(LIT-CI),CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
ARABA-ÁLAVA,002,018,ZIGOITIA,1122,509,99,410,7,403,613,81,62,18,0,0,0,0,0,0,0,0,0,0,4,159,0,0,0,69,0,0,0,0,0,2,0,6,0,0,0,2
ARABA-ÁLAVA,002,019,KRIPAN,158,97,5,92,2,90,61,4,22,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARABA-ÁLAVA,002,020,KUARTANGO,328,161,21,140,0,140,167,7,20,3,0,0,0,0,0,1,0,0,0,0,4,98,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0
ARABA-ÁLAVA,002,021,ELBURGO / BURGELU,363,152,15,137,0,137,211,26,44,5,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,2
ARABA-ÁLAVA,002,022,ELCIEGO,815,513,12,501,2,499,302,203,180,19,0,0,0,0,0,0,0,0,0,0,1,66,2,0,0,23,1,0,0,0,0,0,0,2,0,1,0,1
ARABA-ÁLAVA,002,023,ELVILLAR / BILAR,310,172,8,164,1,163,138,23,69,5,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1
ARABA-ÁLAVA,002,027,IRURAIZ-GAUNA,403,170,35,135,1,134,233,12,38,2,0,0,1,0,0,0,0,0,0,0,5,68,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1
ARABA-ÁLAVA,002,028,LABASTIDA / BASTIDA,1074,564,35,529,4,525,510,125,220,28,0,0,0,0,1,0,0,0,2,0,2,104,0,0,0,36,0,0,1,1,1,0,0,4,0,0,0,0
ARABA-ÁLAVA,002,030,LAGRÁN,184,109,1,108,1,107,75,14,51,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,031,LAGUARDIA,1239,729,18,711,4,707,510,125,370,7,0,0,1,1,0,0,0,0,2,0,1,170,0,0,0,26,0,0,1,0,1,1,0,1,0,0,0,0
ARABA-ÁLAVA,002,032,LANCIEGO / LANTZIEGO,537,304,8,296,0,296,233,73,99,5,0,0,0,0,0,0,0,0,0,0,0,106,0,0,1,5,0,0,0,0,0,0,0,5,1,0,1,0
ARABA-ÁLAVA,002,033,LAPUEBLA DE LABARCA,706,463,8,455,1,454,243,94,120,3,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0
ARABA-ÁLAVA,002,034,LEZA,180,115,6,109,0,109,65,20,19,3,0,0,0,1,0,0,0,0,0,0,1,41,0,0,0,19,0,0,0,0,0,0,0,4,0,0,0,1
ARABA-ÁLAVA,002,037,ARRAIA-MAEZTU,644,262,27,235,5,230,382,36,67,9,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
ARABA-ÁLAVA,002,039,MOREDA DE ÁLAVA,233,161,1,160,0,160,72,68,48,2,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
ARABA-ÁLAVA,002,041,NAVARIDAS,169,115,0,115,0,115,54,12,65,4,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
ARABA-ÁLAVA,002,043,OYÓN-OION,2197,1001,72,929,4,925,1196,284,386,21,0,0,0,0,1,0,0,0,0,2,2,178,0,0,0,33,0,0,0,0,6,1,0,7,0,0,0,4
ARABA-ÁLAVA,002,044,PEÑACERRADA-URIZAHARRA,232,117,11,106,1,105,115,17,43,4,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
ARABA-ÁLAVA,002,046,RIBERA ALTA,510,250,19,231,0,231,260,29,92,6,0,0,0,0,0,0,0,0,0,1,0,92,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,2
ARABA-ÁLAVA,002,047,RIBERA BAJA / ERRIBERA BEITIA,777,356,6,350,2,348,421,106,133,10,0,0,0,0,0,1,0,1,0,0,1,80,0,1,1,10,0,0,0,0,0,0,0,2,0,0,0,2
ARABA-ÁLAVA,002,049,AÑANA,172,117,12,105,1,104,55,23,20,3,1,0,0,0,0,0,0,0,0,0,1,51,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1
ARABA-ÁLAVA,002,051,SALVATIERRA / AGURAIN,3358,1249,257,992,7,985,2109,264,189,28,0,0,0,0,2,2,0,0,1,0,12,346,0,0,0,117,1,0,0,1,0,1,0,17,0,0,3,1
